City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Nahrin,AF,2020-12-01 03:21:33,36.06,69.13,44.53,59,5,0.78
153,Koutiala,ML,2020-12-01 03:21:33,12.39,-5.46,73.96,30,0,7.38
154,Port Alfred,ZA,2020-12-01 03:21:33,-33.59,26.89,60.93,79,3,14.88
155,Wapi Pathum,TH,2020-12-01 03:21:33,15.85,103.38,82.0,57,40,9.17
156,Mapiri,BO,2020-12-01 03:21:34,-15.25,-68.17,68.86,89,100,0.6
157,Airai,TL,2020-12-01 03:21:34,-8.93,125.41,76.8,68,47,2.17
158,Takoradi,GH,2020-12-01 03:21:34,4.88,-1.76,78.44,86,1,5.39
159,Lompoc,US,2020-12-01 03:17:36,34.64,-120.46,55.4,87,1,4.7
160,Katsuura,JP,2020-12-01 03:21:34,35.13,140.3,59.0,66,20,5.82
161,Kampong Thum,KH,2020-12-01 03:21:34,12.71,104.89,74.26,81,99,5.37
162,Wyndham,US,2020-12-01 03:21:34,37.7,-77.61,48.99,73,21,1.01
163,Qaanaaq,GL,2020-12-01 03:21:35,77.48,-69.36,-6.32,79,98,3.51
164,Muleba,TZ,2020-12-01 03:21:35,-1.84,31.65,66.2,93,20,5.82
165,Hamilton,US,2020-12-01 03:21:35,39.18,-84.53,30.99,92,90,17.22
166,Mayo,US,2020-12-01 03:21:35,38.89,-76.51,53.01,76,75,6.93
167,Paraiso,CR,2020-12-01 03:21:35,9.84,-83.87,71.6,73,0,9.17
168,Goderich,CA,2020-12-01 03:21:35,43.75,-81.72,32.0,93,100,17.22
169,Geraldton,AU,2020-12-01 03:16:39,-28.77,114.6,73.4,25,0,14.99
170,Tsaratanana,MG,2020-12-01 03:21:35,-16.78,47.65,75.78,78,76,2.64
171,Haines Junction,CA,2020-12-01 03:21:36,60.75,-137.51,30.2,63,100,10.29
172,Jambusar,IN,2020-12-01 03:21:21,22.05,72.8,69.8,77,0,4.7
173,Sao Joao Da Barra,BR,2020-12-01 03:21:36,-21.64,-41.05,74.07,87,64,16.13
174,Yabelo,ET,2020-12-01 03:21:36,4.88,38.08,60.22,73,72,4.63
175,Atuona,PF,2020-12-01 03:21:36,-9.8,-139.03,78.39,76,2,15.9
176,Kahului,US,2020-12-01 03:21:36,20.89,-156.47,80.6,54,40,11.41
177,Kendari,ID,2020-12-01 03:21:36,-3.94,122.5,88.48,60,100,3.4
178,Palmdale,US,2020-12-01 03:18:04,34.58,-118.12,51.01,21,1,4.7
179,Mar Del Plata,AR,2020-12-01 03:19:55,-38.0,-57.56,57.0,71,0,5.82
180,Clyde River,CA,2020-12-01 03:21:37,70.47,-68.59,-7.6,69,1,3.36
181,Tautira,PF,2020-12-01 03:21:37,-17.73,-149.15,82.4,78,20,3.36
182,Kruisfontein,ZA,2020-12-01 03:21:38,-34.0,24.73,59.0,88,94,4.0
183,Kropotkin,RU,2020-12-01 03:21:38,45.44,40.58,37.87,77,0,17.87
184,Dickinson,US,2020-12-01 03:21:38,29.46,-95.05,50.0,48,1,4.7
185,Waipawa,NZ,2020-12-01 03:21:38,-41.41,175.52,59.0,62,42,26.4
186,Maragogi,BR,2020-12-01 03:21:38,-9.01,-35.22,75.67,79,16,5.79
187,Talaya,RU,2020-12-01 03:21:39,61.38,152.75,-4.95,89,38,1.19
188,Weligama,LK,2020-12-01 03:21:39,5.97,80.42,80.76,80,100,3.22
189,Uruacu,BR,2020-12-01 03:21:39,-14.52,-49.14,70.21,75,36,2.26
190,Tome,CL,2020-12-01 03:21:39,-36.62,-72.95,55.4,82,0,10.29
191,Tutoia,BR,2020-12-01 03:21:39,-2.76,-42.27,78.84,85,100,12.71
192,Clarence Town,AU,2020-12-01 03:21:39,-32.58,151.78,95.0,48,0,6.93
193,Hofn,IS,2020-12-01 03:21:39,64.25,-15.21,44.33,94,100,16.51
194,Winfield,US,2020-12-01 03:21:40,37.24,-97.0,32.0,58,1,4.7
195,Stabat,ID,2020-12-01 03:21:40,3.76,98.45,84.2,83,75,9.17
196,Cabo San Lucas,MX,2020-12-01 03:20:48,22.89,-109.91,68.0,72,5,8.05
197,Alihe,CN,2020-12-01 03:21:40,50.57,123.72,11.97,80,2,3.91
198,Zlobin,HR,2020-12-01 03:21:40,45.29,14.65,37.0,51,13,3.0
199,Ekhabi,RU,2020-12-01 03:21:40,53.51,142.97,15.46,94,100,17.49
