City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Creel,MX,27.75,-107.63,36.9,72,0,4.88,clear sky
198,Yulara,AU,-25.24,130.99,77.0,25,90,17.22,overcast clouds
199,Lubango,AO,-14.92,13.49,60.15,73,99,3.58,overcast clouds
200,Salvador,SV,13.83,-88.92,78.8,61,20,10.29,few clouds
201,Kiama,AU,-34.68,150.87,70.0,68,92,11.61,overcast clouds
202,Doha,QA,25.29,51.53,73.4,88,20,7.05,few clouds
203,Ewo,CG,-0.87,14.82,72.81,88,91,3.8,overcast clouds
204,Laguna,US,38.42,-121.42,51.01,70,1,2.06,clear sky
205,Usinsk,RU,65.99,57.53,21.11,96,99,19.69,overcast clouds
206,Dolores,AR,-36.31,-57.68,60.44,92,0,8.88,light rain
207,Esperance,AU,-33.87,121.9,73.4,33,52,11.41,broken clouds
208,Qasigiannguit,GL,68.82,-51.19,17.6,67,82,8.05,broken clouds
209,San Fernando,PH,15.03,120.69,86.0,62,75,4.7,broken clouds
210,Mezen,RU,65.85,44.24,27.45,98,98,10.09,light snow
211,Thatta,PK,24.75,67.92,72.77,20,8,7.72,clear sky
212,Mount Gambier,AU,-37.83,140.77,62.6,45,90,10.29,overcast clouds
213,Lasa,IT,46.62,10.7,30.99,79,5,6.93,clear sky
214,Nanortalik,GL,60.14,-45.24,27.01,84,13,26.6,few clouds
215,Sembe,CG,1.65,14.58,70.21,89,28,2.33,scattered clouds
216,Rio Grande,BR,-32.03,-52.1,66.99,82,87,1.01,overcast clouds
217,Atar,MR,20.52,-13.05,77.18,22,100,3.96,overcast clouds
218,Isangel,VU,-19.55,169.27,86.0,62,75,5.82,broken clouds
219,Shimoda,JP,34.67,138.95,51.8,81,75,23.04,broken clouds
220,Jamestown,US,42.1,-79.24,30.0,92,90,13.87,snow
221,Belyy Yar,RU,53.6,91.39,10.4,85,40,2.24,mist
222,Bom Jardim,BR,-7.8,-35.59,71.6,94,20,12.75,few clouds
223,Sur,OM,22.57,59.53,71.92,76,0,2.55,clear sky
224,Sangar,RU,63.92,127.47,-21.03,86,96,4.83,overcast clouds
225,Bud,US,39.45,-86.18,26.01,85,1,3.36,clear sky
226,Havelock,US,34.88,-76.9,41.0,65,1,9.17,clear sky
227,Jiuquan,CN,39.74,98.52,19.18,93,92,5.55,overcast clouds
228,Augusto Correa,BR,-1.02,-46.63,75.69,94,16,4.23,few clouds
229,Brae,GB,60.4,-1.35,50.0,87,100,20.8,light rain
230,Kupang,ID,-10.17,123.58,86.0,79,75,8.05,thunderstorm
231,Provideniya,RU,64.38,-173.3,15.8,66,0,17.9,heavy snow
232,Maniitsoq,GL,65.42,-52.9,14.65,90,93,12.24,overcast clouds
233,Newcastle,AU,-32.93,151.78,72.0,73,90,18.34,overcast clouds
234,Teguise,ES,29.06,-13.56,62.6,88,0,5.82,light rain
235,Saint Anthony,US,45.02,-93.22,28.99,68,20,3.13,few clouds
236,Starodubskoye,RU,44.56,44.02,39.88,90,100,10.98,overcast clouds
237,Dalmatovo,RU,56.26,62.94,2.3,91,0,6.24,clear sky
238,Cidreira,BR,-30.18,-50.21,70.03,83,76,18.23,broken clouds
239,Sidney,AU,-33.87,151.21,72.0,64,75,13.87,broken clouds
240,Faya,SA,18.39,42.45,51.8,93,0,4.7,clear sky
241,Takoradi,GH,4.88,-1.76,78.1,85,7,6.69,clear sky
242,Torbay,CA,47.67,-52.73,45.0,93,90,19.46,overcast clouds
243,Mount Darwin,ZW,-16.77,31.58,71.4,84,100,1.68,overcast clouds
244,Payo,ID,-3.75,103.64,88.65,59,20,2.26,few clouds
245,Vinh,VN,18.67,105.67,64.83,88,100,7.27,overcast clouds
246,Te Anau,NZ,-45.42,167.72,45.41,90,99,8.03,light rain
247,Portland,US,45.52,-122.68,48.2,45,1,12.75,clear sky
248,Sorland,NO,67.67,12.69,39.69,90,100,46.8,light rain
249,Sonepur,IN,20.83,83.92,70.2,56,10,0.72,clear sky
250,Callaguip,PH,18.07,120.49,82.4,74,75,25.28,broken clouds
251,Busia,UG,0.45,34.08,62.08,83,8,4.12,clear sky
252,Kloulklubed,PW,7.04,134.26,84.2,74,75,5.82,broken clouds
253,Bam,IR,29.11,58.36,57.2,39,0,2.08,clear sky
254,Coihaique,CL,-45.58,-72.07,46.4,61,90,5.82,light rain
255,Sobolevo,RU,54.43,31.9,27.1,98,89,7.36,overcast clouds
256,Sept-Iles,CA,50.2,-66.38,43.0,100,100,8.05,moderate rain
257,High Level,CA,58.52,-117.14,14.0,100,75,2.24,broken clouds
258,Turkan,AZ,40.36,50.22,33.8,100,40,4.7,fog
259,Wilmington Island,US,32.0,-80.97,42.01,69,1,5.82,clear sky
260,Hamilton,US,39.18,-84.53,32.0,68,75,10.29,broken clouds
261,Sabang,ID,5.89,95.32,81.97,73,40,2.55,scattered clouds
262,San Felipe,VE,10.34,-68.74,72.79,93,100,0.36,overcast clouds
263,Opuwo,NA,-18.06,13.84,68.68,33,21,2.24,few clouds
264,Ahvaz,IR,31.32,48.67,60.8,100,90,2.24,light rain
