City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
308,The Valley,AI,79.0,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
309,Rawson,AR,67.33,overcast clouds,-43.3,-65.1,Hotel Punta León
311,Maceio,BR,73.4,clear sky,-9.67,-35.74,Mercure Maceio Pajucara Hotel
318,San Cristobal,VE,65.68,overcast clouds,7.77,-72.22,Pirineos
319,Amboasary,MG,77.0,scattered clouds,-25.03,46.38,DISCOVERY AMBOASARY
320,Ponta Do Sol,PT,62.6,moderate rain,32.67,-17.1,Hotel do Campo
322,Catamarca,AR,62.01,scattered clouds,-28.47,-65.79,Amerian Catamarca Park Hotel
325,Bilma,NE,61.34,clear sky,18.69,12.92,Expeditions Ténére voyages
326,Poum,NC,77.88,clear sky,-20.23,164.02,Gîte kajeon
327,Airai,TL,77.25,light rain,-8.93,125.41,Juvinal Martin
329,Bonthe,SL,78.33,clear sky,7.53,-12.51,Bonthe Holiday Village
330,Guilin,CN,55.4,broken clouds,25.28,110.29,Grand 0773 Hotel
332,Gat,IL,51.8,light rain,31.61,34.76,OlusHome
333,Joaquim Nabuco,BR,70.83,few clouds,-8.62,-35.53,Baia Beira Rio
334,San Luis,AR,62.06,moderate rain,-33.3,-66.34,Huarpes Hotel
336,Santarem,BR,78.8,clear sky,-2.44,-54.71,Hotel Imperador
337,Naze,JP,71.6,broken clouds,28.37,129.48,奄美ポートタワーホテル
341,Marzuq,YE,58.35,clear sky,14.4,46.47,
342,Chuy,UY,61.7,scattered clouds,-33.7,-53.46,Nuevo Hotel Plaza
343,Jalu,LY,55.42,clear sky,29.03,21.55,صاحبة الفخامة
349,Orodara,BF,77.0,clear sky,10.95,-4.93,Bkf Orodara
350,Coquimbo,CL,55.4,clear sky,-29.95,-71.34,Hotel San Juan
351,Irati,BR,63.05,scattered clouds,-25.47,-50.65,Hotel Colonial
353,Entebbe,UG,67.93,overcast clouds,0.06,32.45,WB APARTMENT
354,San Jose,US,54.0,clear sky,37.34,-121.89,The Westin San Jose
358,Cap Malheureux,MU,79.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
361,Manyana,BW,66.0,few clouds,-23.4,21.72,
363,Birao,CF,62.96,scattered clouds,10.28,22.79,
364,Nouadhibou,MR,68.0,overcast clouds,20.93,-17.03,El Medina
365,Tura,IN,71.92,clear sky,25.52,90.22,Hotel RIKMAN Continental
367,Tabas,IR,50.0,few clouds,33.6,56.92,شرکت معماری مهراز شایگان آراد
368,Ulundi,ZA,59.97,overcast clouds,-28.34,31.42,Ekhethelo Lodge
369,Burnie,AU,60.01,clear sky,-41.07,145.92,Beachfront Voyager Motor Inn
372,Kisangani,CD,72.93,overcast clouds,0.52,25.2,Grand Ramela Hotel
373,Araouane,ML,74.88,overcast clouds,18.9,-3.53,
375,Santa Vitoria Do Palmar,BR,62.65,broken clouds,-33.52,-53.37,Hostel Comodoro
376,Porto Novo,BJ,78.4,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
377,Los Llanos De Aridane,ES,66.2,clear sky,28.66,-17.92,Valle Aridane
378,Saint-Georges,GD,78.8,few clouds,12.06,-61.75,Siesta Hotel
380,Malakal,SS,71.26,clear sky,9.53,31.66,Nile Palace Hotel
385,Morropon,PE,76.23,overcast clouds,-5.18,-79.97,panaderia jeffeson
386,Launceston,AU,66.99,clear sky,-41.45,147.17,Hotel Grand Chancellor Launceston
388,Zeerust,ZA,59.0,clear sky,-25.54,26.08,Kareespruit Game Ranch and Guest House
389,Tuatapere,NZ,64.0,light rain,-46.13,167.68,Ron and Tony's Bed & Breakfast
395,Peniche,PT,51.01,broken clouds,39.36,-9.38,Hotel Star inn Peniche
397,Sambava,MG,74.68,overcast clouds,-14.27,50.17,Melrose
400,Lamu,KE,78.8,light rain,-2.27,40.9,Lamu House
